batch,seq_len,ffn_hidden,variant,latency_ms,speedup_vs_unfused_INT4
4,1024,11008,full_fused_hadacore256_k3_ffn,1.0524606704711914,5.288183511011838
4,1024,14336,quarot_unfused,5.897117614746094,1.0
4,1024,14336,k1_fused,7.725304285685222,0.7633508528166706
4,1024,14336,k1_k2_fused,6.5681718190511065,0.8978324223555469
4,1024,14336,attention_fused_current,2.7981815338134766,2.107482142771938
4,1024,14336,attention_fused_hadacore256,1.7075297037760417,3.4535959179539724
4,1024,14336,full_fused_current,1.2706416447957356,4.641054886638865
4,1024,14336,full_fused_hadacore256_ffn,1.289716323216756,4.572414498126031
4,1024,14336,full_fused_hadacore256_k3_ffn,1.1543543338775635,5.108585329200636
4,4096,11008,quarot_unfused,14.99615732828776,1.0
4,4096,11008,k1_fused,13.997693379720053,1.0713306057992589
4,4096,11008,k1_k2_fused,2.4452184041341147,6.132849852157932
4,4096,11008,attention_fused_current,1.6431007385253906,9.126742491605317
4,4096,11008,attention_fused_hadacore256,1.6580789883931477,9.044296100043224
4,4096,11008,full_fused_current,1.2138783137003581,12.353921442565216
4,4096,11008,full_fused_hadacore256_ffn,1.2123429775238037,12.369566703736954
4,4096,11008,full_fused_hadacore256_k3_ffn,1.2165616353352864,12.326672889166684
4,4096,14336,quarot_unfused,15.75314712524414,1.0
4,4096,14336,k1_fused,14.140416463216146,1.1140511431345204
4,4096,14336,k1_k2_fused,2.7785536448160806,5.669549391149826
4,4096,14336,attention_fused_current,1.6928383509318035,9.30575983027145
4,4096,14336,attention_fused_hadacore256,1.8477570215861003,8.525551217617217
4,4096,14336,full_fused_current,1.3393243153889973,11.76201084699097
4,4096,14336,full_fused_hadacore256_ffn,1.3373196919759114,11.779641935855002
4,4096,14336,full_fused_hadacore256_k3_ffn,1.3399696350097656,11.756346348198653
8,10,11008,quarot_unfused,5.273336728413899,1.0
8,10,11008,k1_fused,2.5900419553120932,2.036004365720198
8,10,11008,k1_k2_fused,2.3730716705322266,2.222156538252049
8,10,11008,attention_fused_current,3.960352579752604,1.3315321356421541
8,10,11008,attention_fused_hadacore256,3.293455123901367,1.6011563935224356
8,10,11008,full_fused_current,1.2535409927368164,4.206752518639849
8,10,11008,full_fused_hadacore256_ffn,1.175913651784261,4.484459144098254
8,10,11008,full_fused_hadacore256_k3_ffn,1.0264846483866374,5.137277733965326
8,10,14336,quarot_unfused,5.556418736775716,1.0
8,10,14336,k1_fused,3.9114516576131186,1.4205515555742299
8,10,14336,k1_k2_fused,4.954633394877116,1.1214591058383494
8,10,14336,attention_fused_current,3.894402821858724,1.4267704166575514
8,10,14336,attention_fused_hadacore256,2.3554466565450034,2.3589660675763024
8,10,14336,full_fused_current,1.1829386552174885,4.697131767795806
8,10,14336,full_fused_hadacore256_ffn,1.1395230293273926,4.876091657450233
8,10,14336,full_fused_hadacore256_k3_ffn,1.1416227022806804,4.867123547626867
8,128,11008,quarot_unfused,4.381409962972005,1.0
