variant,batch,context_len,stage,metric,algorithmic_ops,stage_ms,value
unfused_INT4,1,4096,q_proj,effective_TFLOPs,1073741824,2.6102946549654007,0.4113488957874882
unfused_INT4,1,4096,k_proj,effective_TFLOPs,268435456,1.3401610006888707,0.20030090105742412
unfused_INT4,1,4096,v_proj,effective_TFLOPs,268435456,1.6778373308479786,0.15998896380755387
unfused_INT4,1,4096,o_proj_residual,effective_TFLOPs,1073741824,3.2328153351942697,0.33213831062685045
unfused_INT4,1,4096,gate_proj,effective_TFLOPs,3758096384,9.720921675364176,0.38659877216418476
unfused_INT4,1,4096,up_proj,effective_TFLOPs,3758096384,8.436933701237043,0.4454339120205459
unfused_INT4,1,4096,down_proj_residual,effective_TFLOPs,3758096384,9.342310984929403,0.40226624761928736
unfused_INT4,1,4096,final_norm_lm_head,effective_TFLOPs,1050673152,1.8823683261871338,0.5581655499528142
unfused_INT4,1,4096,K1,effective_Hadamard_TOPS,458752,36.40176270405451,1.2602466636839626e-05
unfused_INT4,1,4096,K3,effective_Hadamard_TOPS,1048576,8.130762974421183,0.00012896403490038358
unfused_INT4,1,4096,FFN,effective_Hadamard_TOPS,3670016,8.261597335338593,0.0004442259591013568
unfused_INT4,4,1024,q_proj,effective_TFLOPs,4294967296,2.5681723281741142,1.6723828260596438
unfused_INT4,4,1024,k_proj,effective_TFLOPs,1073741824,1.2430740011235077,0.8637794878096856
unfused_INT4,4,1024,v_proj,effective_TFLOPs,1073741824,1.7131820072730382,0.6267529190953455
unfused_INT4,4,1024,o_proj_residual,effective_TFLOPs,4294967296,3.961518665154775,1.0841719196676303
unfused_INT4,4,1024,gate_proj,effective_TFLOPs,15032385536,10.791531066099802,1.3929798694850903
unfused_INT4,4,1024,up_proj,effective_TFLOPs,15032385536,8.467799281080564,1.7752411266510013
unfused_INT4,4,1024,down_proj_residual,effective_TFLOPs,15032385536,10.314651360114416,1.4573818359124115
unfused_INT4,4,1024,final_norm_lm_head,effective_TFLOPs,4202692608,1.9010106722513835,2.2107674982290946
unfused_INT4,4,1024,K1,effective_Hadamard_TOPS,1835008,36.4760248263677,5.030723629383852e-05
unfused_INT4,4,1024,K3,effective_Hadamard_TOPS,4194304,8.044513339797655,0.0005213869158809176
unfused_INT4,4,1024,FFN,effective_Hadamard_TOPS,14680064,8.470527360836664,0.001733075565976331
